experiment,episode,board_size,start_stones,opponent,dqn_color,winner,dqn_win,game_length,invalid_fallbacks,experimental_board_transfer
experimental_board_size_transfer,108,5,0,Random Agent,BLUE,RED,0,23,0,True
experimental_board_size_transfer,109,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,110,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,111,5,0,Random Agent,RED,BLUE,0,24,0,True
experimental_board_size_transfer,112,5,0,Random Agent,BLUE,RED,0,15,0,True
experimental_board_size_transfer,113,5,0,Random Agent,RED,RED,1,15,0,True
experimental_board_size_transfer,114,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,115,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,116,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,117,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,118,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,119,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,120,5,0,Random Agent,BLUE,BLUE,1,24,0,True
experimental_board_size_transfer,121,5,0,Random Agent,RED,BLUE,0,24,0,True
experimental_board_size_transfer,122,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,123,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,124,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,125,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,126,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,127,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,128,5,0,Random Agent,BLUE,RED,0,19,0,True
experimental_board_size_transfer,129,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,130,5,0,Random Agent,BLUE,RED,0,17,0,True
experimental_board_size_transfer,131,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,132,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,133,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,134,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,135,5,0,Random Agent,RED,RED,1,9,0,True
